Posting Type,# Of Positions,Business Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit
Internal,1,Project Advocate,"Engineering, Architecture, & Planning",F,70000,82000,Annual,Flushing Meadow Pk Olmsted Ctr,CP DC For Capital Projects
Internal,1,Project Advocate,"Engineering, Architecture, & Planning",F,70000,82000,Annual,Flushing Meadow Pk Olmsted Ctr,CP DC For Capital Projects
External,1,Project Advocate,"Engineering, Architecture, & Planning",F,70000,82000,Annual,Flushing Meadow Pk Olmsted Ctr,CP DC For Capital Projects
Internal,1,Project Advocate,"Engineering, Architecture, & Planning",F,70000,82000,Annual,Flushing Meadow Pk Olmsted Ctr,CP DC For Capital Projects
Internal,1,Project Advocate,"Engineering, Architecture, & Planning",F,70000,82000,Annual,Flushing Meadow Pk Olmsted Ctr,CP DC For Capital Projects
External,1,Project Advocate,"Engineering, Architecture, & Planning",F,70000,82000,Annual,Flushing Meadow Pk Olmsted Ctr,CP DC For Capital Projects
Internal,1,"NYC Census 2020 - Senior Advisor, Communications",Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,80000,90000,Annual,161 William St  New York N Y,Census
External,1,"NYC Census 2020 - Senior Advisor, Communications",Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,80000,90000,Annual,161 William St  New York N Y,Census
External,1,NYC Census 2020 - Field Director,Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,80000,90000,Annual,161 William St  New York N Y,Census
Internal,1,NYC Census 2020 - Field Director,Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,80000,90000,Annual,161 William St  New York N Y,Census
Internal,1,Program Manager,Constituent Services & Community Programs,F,58440,70000,Annual,"2 Lafayette St., N.Y.",Compass/SONYC Support
Internal,2,CoQI Facilitator,Social Services,F,65429,81571,Annual,"150 William Street, New York N",Quality Improvement (Qa)
Internal,5,Fire Safety Oversight Team (FSOT) Specialist,"Public Safety, Inspections, & Enforcement",F,52063,73309,Annual,Environmental Health & Safety,Environmental Health & Safety
External,5,Fire Safety Oversight Team (FSOT) Specialist,"Public Safety, Inspections, & Enforcement",F,52063,73309,Annual,Environmental Health & Safety,Environmental Health & Safety
External,1,Video Producer,Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,52524,70000,Annual,253 Broadway New York Ny,Mayor's Office/Cityhall
Internal,1,Video Producer,Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,52524,70000,Annual,253 Broadway New York Ny,Mayor's Office/Cityhall
External,5,Indoor Air Quality Oversight Team (IAQOT) Specialist,"Public Safety, Inspections, & Enforcement",F,58677,91199,Annual,Environmental Health & Safety,Environmental Health & Safety
Internal,5,Indoor Air Quality Oversight Team (IAQOT) Specialist,"Public Safety, Inspections, & Enforcement",F,58677,91199,Annual,Environmental Health & Safety,Environmental Health & Safety
Internal,1,Assistant General Counsel,Legal Affairs,F,57944,70353,Annual,30-30 Thomson Ave L I City Qns,Law
External,1,Assistant General Counsel,Legal Affairs,F,57944,70353,Annual,30-30 Thomson Ave L I City Qns,Law
Internal,1,"Data Analyst, Bureau of Tuberculosis Control",Health,F,73305,84301,Annual,"1 Court Square, Queens",TB Clinic Operations
External,1,"Data Analyst, Bureau of Tuberculosis Control",Health,F,73305,84301,Annual,"1 Court Square, Queens",TB Clinic Operations
External,1,Certified IT Developer (Applications) Level 3,"Technology, Data & Innovation",F,89509,126575,Annual,"100 Church St., N.Y.",Litigation Support
Internal,1,Certified IT Developer (Applications) Level 3,"Technology, Data & Innovation",F,89509,126575,Annual,"100 Church St., N.Y.",Litigation Support
Internal,1,Certified IT Developer (Applications) Level 3,"Technology, Data & Innovation",F,89509,126575,Annual,"100 Church St., N.Y.",Litigation Support
External,2,Assistant Engineering Audit Officer,"Engineering, Architecture, & Planning",F,55416,83151,Annual,CP QA Comp & Training â€“Â EAO,QA Compliance & Training Dept
Internal,2,Assistant Engineering Audit Officer,"Engineering, Architecture, & Planning",F,55416,83151,Annual,CP QA Comp & Training â€“Â EAO,QA Compliance & Training Dept
External,2,Assistant Landscape Architect,"Engineering, Architecture, & Planning",F,57720,83151,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure
Internal,2,Assistant Landscape Architect,"Engineering, Architecture, & Planning",F,57720,83151,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure
Internal,4,"Early Childhood Education Consultant, Bureau of Childcare",Health,F,64507,80117.64,Annual,NYC - All Boroughs,Child Care
External,4,"Early Childhood Education Consultant, Bureau of Childcare",Health,F,64507,80117.64,Annual,NYC - All Boroughs,Child Care
External,1,Elevator Oversight Team (EOT) Administrator,"Public Safety, Inspections, & Enforcement",F,63031,168433,Annual,Environmental Health & Safety,Environmental Health & Safety
Internal,1,Elevator Oversight Team (EOT) Administrator,"Public Safety, Inspections, & Enforcement",F,63031,168433,Annual,Environmental Health & Safety,Environmental Health & Safety
Internal,1,Claim Specialist,Legal Affairs,,40275,64307,Annual,30-30 Thomson Ave L I City Qns,Law
External,1,Claim Specialist,Legal Affairs,,40275,64307,Annual,30-30 Thomson Ave L I City Qns,Law
Internal,2,Research Assistant,Legal Affairs,F,44104,66739,Annual,30-30 Thomson Ave L I City Qns,Law
External,2,Research Assistant,Legal Affairs,F,44104,66739,Annual,30-30 Thomson Ave L I City Qns,Law
External,1,IT Security Officer,"Technology, Data & Innovation",F,75000,180000,Annual,"33 Beaver St, New York Ny",Information Technology
Internal,1,IT Security Officer,"Technology, Data & Innovation",F,75000,180000,Annual,"33 Beaver St, New York Ny",Information Technology
External,1,"Office Manager, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",Health,,54638,67860.72,Annual,42-09 28th Street,HIV Prevention
Internal,1,"Office Manager, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",Health,,54638,67860.72,Annual,42-09 28th Street,HIV Prevention
Internal,2,Capital/ Scope Engineer,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
External,2,Capital/ Scope Engineer,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
Internal,1,Deputy Director,"Engineering, Architecture, & Planning",F,52137,144413,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
External,1,Deputy Director,"Engineering, Architecture, & Planning",F,52137,144413,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
External,1,Engineer-In-Charge,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
Internal,1,Engineer-In-Charge,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
External,2,Capital/ Scope Junior Engineer,"Engineering, Architecture, & Planning",F,49916,60447,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
Internal,2,Capital/ Scope Junior Engineer,"Engineering, Architecture, & Planning",F,49916,60447,Annual,30-30 Thomson Ave L I City Qns,Infra-Program Admin-Executive
Internal,8,Thermostat Repairer,Building Operations & Maintenance,,52.79,52.79,Hourly,Office of the Vice-President,"VP PHO-BK, MF, QN/SI, P&PD"
External,8,Thermostat Repairer,Building Operations & Maintenance,,52.79,52.79,Hourly,Office of the Vice-President,"VP PHO-BK, MF, QN/SI, P&PD"
Internal,1,Mechanical Engineer,"Engineering, Architecture, & Planning",F,78210,89942,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
External,1,Mechanical Engineer,"Engineering, Architecture, & Planning",F,78210,89942,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
Internal,1,"Deputy Commissioner, Bureau of Customer Services","Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance",F,218587,218587,Annual,59-17 Junction Blvd Corona Ny,BCS - Executive Office
External,1,"Deputy Commissioner, Bureau of Customer Services","Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance",F,218587,218587,Annual,59-17 Junction Blvd Corona Ny,BCS - Executive Office
External,1,Project Manager,"Policy, Research & Analysis",F,73305,92001,Annual,59-17 Junction Blvd Corona Ny,Banhaz Mat
Internal,1,Project Manager,"Policy, Research & Analysis",F,73305,92001,Annual,59-17 Junction Blvd Corona Ny,Banhaz Mat
Internal,1,CONSTRUCTION PROJECT MANAGER II,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,65783,95270,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
External,1,CITY RESEARCH SCIENTIST II,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,73305,92001,Annual,96-05 Horace Harding Expway,Environmental Health Safety
Internal,1,CITY RESEARCH SCIENTIST II,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,73305,92001,Annual,96-05 Horace Harding Expway,Environmental Health Safety
Internal,1,Director,"Finance, Accounting, & Procurement",F,61938,144145,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
External,1,Director,"Finance, Accounting, & Procurement",F,61938,144145,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
Internal,1,Civil Engineer III,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,87490,118610,Annual,96-05 Horace Harding Expway,Water Supply/Field Oper Mgt
Internal,2,Confidential Investigator,"Public Safety, Inspections, & Enforcement",F,50000,55000,Annual,80 Maiden Lane,Default
External,2,Confidential Investigator,"Public Safety, Inspections, & Enforcement",F,50000,55000,Annual,80 Maiden Lane,Default
External,1,Stationary Engineer (Electric),Building Operations & Maintenance,F,58.4,58.4,Hourly,"1270 Victory Blvd, Staten Isl",New Clove Pump Sta Cty Opr R
Internal,1,Stationary Engineer (Electric),Building Operations & Maintenance,F,58.4,58.4,Hourly,"1270 Victory Blvd, Staten Isl",New Clove Pump Sta Cty Opr R
External,1,Deputy Director of Continued Occupancy,Constituent Services & Community Programs,F,72476,83347,Annual,100 Gold Street,HCV Unit
Internal,1,Deputy Director of Continued Occupancy,Constituent Services & Community Programs,F,72476,83347,Annual,100 Gold Street,HCV Unit
Internal,1,Donations Coordinator,Constituent Services & Community Programs,F,20.3706,26.27,Hourly,"33-00 Northern Blvd., Lic Ny",Material For The Arts
External,1,Donations Coordinator,Constituent Services & Community Programs,F,20.3706,26.27,Hourly,"33-00 Northern Blvd., Lic Ny",Material For The Arts
Internal,1,"Senior Counsel for Legal Compliance, Litigation and Advisory Services",Legal Affairs,,56990,130000,Annual,15 Metrotech,General Counsel
External,1,"Associate Contract and Purchasing Specialist, Bureau of Childcare","Finance, Accounting, & Procurement Health",F,58440,72360,Annual,"125 Worth Street, Nyc",Child Care
Internal,1,"Associate Contract and Purchasing Specialist, Bureau of Childcare","Finance, Accounting, & Procurement Health",F,58440,72360,Annual,"125 Worth Street, Nyc",Child Care
Internal,4,PROJECT MANAGER,"Engineering, Architecture, & Planning",F,65783,97173,Annual,Real Estate Development-VP,R E Dev For New Construction
External,4,PROJECT MANAGER,"Engineering, Architecture, & Planning",F,65783,97173,Annual,Real Estate Development-VP,R E Dev For New Construction
External,1,Senior Advisor,Administration & Human Resources,F,63031,168433,Annual,Real Estate Development-VP,R E Dev For New Construction
Internal,1,Senior Advisor,Administration & Human Resources,F,63031,168433,Annual,Real Estate Development-VP,R E Dev For New Construction
External,1,Procurement Manager,"Finance, Accounting, & Procurement",,61938,144145,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Corrections
Internal,1,Procurement Manager,"Finance, Accounting, & Procurement",,61938,144145,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Corrections
Internal,1,Guidelines and Standards Developer,"Engineering, Architecture, & Planning",F,65783,75651,Annual,59-17 Junction Blvd Corona Ny,Office of Agency Chief Engnr
Internal,1,Analyst  Intergovernmental Relations,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",F,45491,68244,Annual,255 Greenwich Street,Budget Directors Office
External,1,Analyst  Intergovernmental Relations,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",F,45491,68244,Annual,255 Greenwich Street,Budget Directors Office
Internal,1,Agency Attorney,Legal Affairs,F,58716,89638,Annual,"1 Police Plaza, N.Y.",Legal Bureau/Civ and Cadet
External,1,Agency Attorney,Legal Affairs,F,58716,89638,Annual,"1 Police Plaza, N.Y.",Legal Bureau/Civ and Cadet
Internal,2,Plant Chief,"Engineering, Architecture, & Planning",F,53.99,53.99,Hourly,NYC - All Boroughs,Red Hook
Internal,2,Borough Planner,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",F,55000,62000,Annual,"120 Broadway, New York, NY",Manhattan Office
External,2,Borough Planner,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",F,55000,62000,Annual,"120 Broadway, New York, NY",Manhattan Office
External,10,CEI/CWC,"Engineering, Architecture, & Planning",F,49916,60447,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
Internal,10,CEI/CWC,"Engineering, Architecture, & Planning",F,49916,60447,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
Internal,2,College Aide,Administration & Human Resources,,15.5,17.3,Hourly,"66 John Street, New York, Ny",Clerk's Office MA
External,2,College Aide,Administration & Human Resources,,15.5,17.3,Hourly,"66 John Street, New York, Ny",Clerk's Office MA
Internal,1,E-Learning Content Developer,"Technology, Data & Innovation",F,49741,68675,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
External,1,E-Learning Content Developer,"Technology, Data & Innovation",F,49741,68675,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
External,1,CONSTRUCTION LABORER,Building Operations & Maintenance,F,342.08,342.08,Daily,"52-35 58Th St., Woodside, Ny",Bldg Mgnt Office
Internal,1,CONSTRUCTION LABORER,Building Operations & Maintenance,F,342.08,342.08,Daily,"52-35 58Th St., Woodside, Ny",Bldg Mgnt Office
Internal,1,ELECTRICIAN,Building Operations & Maintenance,F,409.78,409.78,Daily,"52-35 58Th St., Woodside, Ny",Bldg Mgnt Office
External,1,ELECTRICIAN,Building Operations & Maintenance,F,409.78,409.78,Daily,"52-35 58Th St., Woodside, Ny",Bldg Mgnt Office
External,1,Quality Assurance Specialist L1,"Finance, Accounting, & Procurement",F,42857,60810,Annual,Materials Mgmt-Off Of Dir,Materials Mgmt Dept
Internal,1,Quality Assurance Specialist L1,"Finance, Accounting, & Procurement",F,42857,60810,Annual,Materials Mgmt-Off Of Dir,Materials Mgmt Dept
External,3,Planning and Reporting Analyst,"Finance, Accounting, & Procurement",F,58152,74479,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
Internal,3,Planning and Reporting Analyst,"Finance, Accounting, & Procurement",F,58152,74479,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
Internal,1,Machinist's Helper,Building Operations & Maintenance,F,32.7,38.05,Hourly,"1932 Arthur Ave, Bronx",Sys Operations-Bx Mgmt Eng
External,1,Machinist's Helper,Building Operations & Maintenance,F,32.7,38.05,Hourly,"1932 Arthur Ave, Bronx",Sys Operations-Bx Mgmt Eng
Internal,4,WORKFORCE1 OPERATIONS MANAGER,Constituent Services & Community Programs,F,28.7488,35.58,Hourly,110 William St. N Y,WF1 Operations
External,4,WORKFORCE1 OPERATIONS MANAGER,Constituent Services & Community Programs,F,28.7488,35.58,Hourly,110 William St. N Y,WF1 Operations
External,4,MAINTENANCE WORKER,Building Operations & Maintenance,F,27.58,29,Hourly,Brooklyn Floating Staff,Brooklyn Property Management
Internal,4,MAINTENANCE WORKER,Building Operations & Maintenance,F,27.58,29,Hourly,Brooklyn Floating Staff,Brooklyn Property Management
External,1,"Program Specialist, Treatment Services, Mental Health",Health,F,69300,79695,Annual,42-09 28th Street,Mental Health
Internal,1,"Program Specialist, Treatment Services, Mental Health",Health,F,69300,79695,Annual,42-09 28th Street,Mental Health
External,1,"Health Data Scientist, Bureau of School Health","Health Policy, Research & Analysis",F,82008,107770,Annual,"1 Court Square, Queens",SH Administration
Internal,1,"Health Data Scientist, Bureau of School Health","Health Policy, Research & Analysis",F,82008,107770,Annual,"1 Court Square, Queens",SH Administration
External,1,"Nurse Practitioner, Bureau of Sexually Transmitted Infections, Bureau of Sexually Transmitted Infections",Health,P,38.5129,59.1084,Hourly,NYC - All Boroughs,STI Medical Services
Internal,1,"Nurse Practitioner, Bureau of Sexually Transmitted Infections, Bureau of Sexually Transmitted Infections",Health,P,38.5129,59.1084,Hourly,NYC - All Boroughs,STI Medical Services
Internal,1,Assistant Environmental Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
External,1,Assistant Environmental Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
Internal,1,"Deputy Engineer-In-Charge, Infrastructure","Engineering, Architecture, & Planning",F,55416,83151,Annual,96-05 Horace Harding Expway,Capital Planning Development
Internal,1,Policy Analyst-External Affairs,"Policy, Research & Analysis",F,37217,54000,Annual,"33 Beaver St, New York Ny",Office of External Affairs
External,1,Policy Analyst-External Affairs,"Policy, Research & Analysis",F,37217,54000,Annual,"33 Beaver St, New York Ny",Office of External Affairs
Internal,1,Senior Investment Officer â€“ Real Estate,"Finance, Accounting, & Procurement",F,160000,175000,Annual,"1 Centre St., N.Y.",Asset Management
External,1,Senior Investment Officer â€“ Real Estate,"Finance, Accounting, & Procurement",F,160000,175000,Annual,"1 Centre St., N.Y.",Asset Management
External,1,Senior Systems Administrator,"Technology, Data & Innovation",F,80000,90000,Annual,"1 Centre St., N.Y.",Information Systems
Internal,1,Senior Systems Administrator,"Technology, Data & Innovation",F,80000,90000,Annual,"1 Centre St., N.Y.",Information Systems
External,1,ESTIMATOR,"Engineering, Architecture, & Planning",F,87490,118610,Annual,"44 Beaver St., N.Y.",Personnel Office
Internal,1,ESTIMATOR,"Engineering, Architecture, & Planning",F,87490,118610,Annual,"44 Beaver St., N.Y.",Personnel Office
External,1,"Care Coordination Specialist, Care Coordination and Health Homes, Bureau of Mental Health",Health,F,58381,67138,Annual,42-09 28th Street,Mental Health
Internal,1,"Care Coordination Specialist, Care Coordination and Health Homes, Bureau of Mental Health",Health,F,58381,67138,Annual,42-09 28th Street,Mental Health
Internal,1,Contracts Officer,Administration & Human Resources,F,61938,144145,Annual,421 East 26th Street NY NY,OCME-Admin
External,1,Junior Environmental Planner,"Engineering, Architecture, & Planning",,65783,97173,Annual,R E DEV FOR New Construction,R E Dev For New Construction
Internal,1,Junior Environmental Planner,"Engineering, Architecture, & Planning",,65783,97173,Annual,R E DEV FOR New Construction,R E Dev For New Construction
External,1,Community Coordinator,Constituent Services & Community Programs,F,52524,81535,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
Internal,1,Community Coordinator,Constituent Services & Community Programs,F,52524,81535,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
External,1,Program Executive,"Engineering, Architecture, & Planning",F,63031,168433,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Corrections
Internal,1,Program Executive,"Engineering, Architecture, & Planning",F,63031,168433,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Corrections
Internal,1,DIRECTOR OF ADMINISTRATION,"Engineering, Architecture, & Planning",F,69940,186555,Annual,"44 Beaver St., N.Y.",Personnel Office
External,1,DIRECTOR OF ADMINISTRATION,"Engineering, Architecture, & Planning",F,69940,186555,Annual,"44 Beaver St., N.Y.",Personnel Office
External,12,Candidacy and Systems Support Specialist,Administration & Human Resources Social Services,P,24.1609,35.3924,Hourly,"150 William Street, New York N",Manhattan Field Office (Dcp)
Internal,12,Candidacy and Systems Support Specialist,Administration & Human Resources Social Services,P,24.1609,35.3924,Hourly,"150 William Street, New York N",Manhattan Field Office (Dcp)
External,3,Program Executive,"Engineering, Architecture, & Planning",F,52137,141865,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Arch
Internal,3,Program Executive,"Engineering, Architecture, & Planning",F,52137,141865,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Arch
Internal,1,Agency Counsel,Legal Affairs,F,60000,80000,Annual,59-17 Junction Blvd Corona Ny,Counsels Office
External,1,Agency Counsel,Legal Affairs,F,60000,80000,Annual,59-17 Junction Blvd Corona Ny,Counsels Office
External,1,Director of Business Practices Accountability Unit,"Administration & Human Resources Finance, Accounting, & Procurement Policy, Research & Analysis",,85000,100000,Annual,"33 Beaver St, New York Ny","Budget, Accounting & Purchasng"
External,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,63031,168433,Annual,96-05 Horace Harding Expway,Plant Construction
Internal,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,63031,168433,Annual,96-05 Horace Harding Expway,Plant Construction
External,1,Payment Analyst,"Finance, Accounting, & Procurement",P,58152,74479,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
Internal,1,Payment Analyst,"Finance, Accounting, & Procurement",P,58152,74479,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
External,1,Industrial Hygienist 2,Health,F,54409,73124,Annual,96-05 Horace Harding Expway,Environmental Health Safety
Internal,1,Industrial Hygienist 2,Health,F,54409,73124,Annual,96-05 Horace Harding Expway,Environmental Health Safety
External,1,Senior Lead Urban Designer / Borough Planning Specialist,"Communications & Intergovernmental Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,75000,85000,Annual,"120 Broadway, New York, NY",Queens Office
Internal,1,Senior Lead Urban Designer / Borough Planning Specialist,"Communications & Intergovernmental Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,75000,85000,Annual,"120 Broadway, New York, NY",Queens Office
Internal,1,AGENCY ATTORNEY  03,Legal Affairs,F,73938,109153,Annual,Law Dept-Civil Litigation,Law Department
External,1,AGENCY ATTORNEY  03,Legal Affairs,F,73938,109153,Annual,Law Dept-Civil Litigation,Law Department
Internal,2,Payment Processor,"Finance, Accounting, & Procurement",F,44142,52095,Annual,"150 William Street, New York N",Asst Comm Payments (Finance)
External,1,Communications Assistant,Communications & Intergovernmental Affairs,F,16,17,Hourly,"100 Church St., N.Y.",Civilian Complaint Review Bd
Internal,1,Communications Assistant,Communications & Intergovernmental Affairs,F,16,17,Hourly,"100 Church St., N.Y.",Civilian Complaint Review Bd
Internal,1,WORKFORCE QUALITY ASSURANCE MANAGER,Constituent Services & Community Programs,F,52524,65000,Annual,110 William St. N Y,WDD Quality Assurance
External,1,WORKFORCE QUALITY ASSURANCE MANAGER,Constituent Services & Community Programs,F,52524,65000,Annual,110 William St. N Y,WDD Quality Assurance
External,1,HR / Recruitment Associate,Administration & Human Resources,F,50000,60000,Annual,"1 Centre St., N.Y.",Administration
Internal,1,HR / Recruitment Associate,Administration & Human Resources,F,50000,60000,Annual,"1 Centre St., N.Y.",Administration
External,1,Change Order Budget Analyst,"Finance, Accounting, & Procurement",F,58152,74479,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
Internal,1,Change Order Budget Analyst,"Finance, Accounting, & Procurement",F,58152,74479,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
External,1,Vendor Integrity Analyst,"Finance, Accounting, & Procurement",F,39237,47824,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
Internal,1,Vendor Integrity Analyst,"Finance, Accounting, & Procurement",F,39237,47824,Annual,30-30 Thomson Ave L I City Qns,Admin/Budget & Finance-Exec
Internal,1,Co-Response Team Coordinator,Health,F,69300,81800,Annual,"93 Worth St., N.Y.",Executive Deputy Com
External,1,Co-Response Team Coordinator,Health,F,69300,81800,Annual,"93 Worth St., N.Y.",Executive Deputy Com
Internal,1,"Vice President Portfolio Planning, Project Development and Asset Mgt","Engineering, Architecture, & Planning",F,86346,217244,Annual,R E DEV FOR New Construction,R E Dev For New Construction
External,1,"Vice President Portfolio Planning, Project Development and Asset Mgt","Engineering, Architecture, & Planning",F,86346,217244,Annual,R E DEV FOR New Construction,R E Dev For New Construction
External,1,Administrative Probation Officer,"Public Safety, Inspections, & Enforcement",F,56990,156829,Annual,"33 Beaver St, New York Ny",DSOD
Internal,1,Administrative Probation Officer,"Public Safety, Inspections, & Enforcement",F,56990,156829,Annual,"33 Beaver St, New York Ny",DSOD
External,1,Assistant Mechanical Engineer,"Engineering, Architecture, & Planning",F,57720,57720,Annual,"1932 Arthur Ave, Bronx",Sys Operations-Bx Mgmt Eng
Internal,1,Assistant Mechanical Engineer,"Engineering, Architecture, & Planning",F,57720,57720,Annual,"1932 Arthur Ave, Bronx",Sys Operations-Bx Mgmt Eng
External,1,Managing Director of Green Infrastructure Design and Construction,"Engineering, Architecture, & Planning",F,69940,186555,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure
Internal,1,Managing Director of Green Infrastructure Design and Construction,"Engineering, Architecture, & Planning",F,69940,186555,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure
Internal,1,Managing Director of Green Infrastructure Design and Construction,"Engineering, Architecture, & Planning",F,69940,186555,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure
Internal,1,"City Custodial Assistant, Bureau of Operations","Health Public Safety, Inspections, & Enforcement",P,15,17.1648,Hourly,34-33 Junction Blvd Queens,Operations
External,1,"City Custodial Assistant, Bureau of Operations","Health Public Safety, Inspections, & Enforcement",P,15,17.1648,Hourly,34-33 Junction Blvd Queens,Operations
External,4,Centralize Data Entry Specialist,"Finance, Accounting, & Procurement",F,50078,58942,Annual,"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ
Internal,4,Centralize Data Entry Specialist,"Finance, Accounting, & Procurement",F,50078,58942,Annual,"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ
Internal,2,Associate Program Manager,"Public Safety, Inspections, & Enforcement",F,37217,61936,Annual,Prevention & Intervention-DIR,Prevention & Intervention Stra
External,2,Associate Program Manager,"Public Safety, Inspections, & Enforcement",F,37217,61936,Annual,Prevention & Intervention-DIR,Prevention & Intervention Stra
Internal,1,Outreach Coordinator,Constituent Services & Community Programs,F,20.3706,33.9004,Hourly,"100 Church St., N.Y.",Civilian Complaint Review Bd
External,1,Outreach Coordinator,Constituent Services & Community Programs,F,20.3706,33.9004,Hourly,"100 Church St., N.Y.",Civilian Complaint Review Bd
External,2,Project Manager Intern,"Engineering, Architecture, & Planning",F,52000,52000,Annual,96-05 Horace Harding Expway,Water Supply/Mapping Division
Internal,2,Project Manager Intern,"Engineering, Architecture, & Planning",F,52000,52000,Annual,96-05 Horace Harding Expway,Water Supply/Mapping Division
External,1,"Senior Director, SRE Security Sciences","Technology, Data & Innovation",,75000,180000,Annual,255 Greenwich Street,Citywide Cybersecurity
Internal,1,"Senior Director, SRE Security Sciences","Technology, Data & Innovation",,75000,180000,Annual,255 Greenwich Street,Citywide Cybersecurity
Internal,19,Investigative Consultant Level 1,"Public Safety, Inspections, & Enforcement Social Services",F,56403,64863,Annual,"150 William Street, New York N",Spec Advisor For Invstgtion-Cr
External,19,Investigative Consultant Level 1,"Public Safety, Inspections, & Enforcement Social Services",F,56403,64863,Annual,"150 William Street, New York N",Spec Advisor For Invstgtion-Cr
Internal,1,Staff Analyst Level 2,"Technology, Data & Innovation",F,58152,74479,Annual,"100 Church St., N.Y.",Litigation Support
Internal,1,Computer Associate (Technical Support) Level 3,Legal Affairs,F,68427,105094,Annual,"100 Church St., N.Y.",Litigation Support
Internal,1,Food Service Manager,Health,F,56990,97000,Annual,"150 William Street, New York N",Administrative Services(Admin)
